UniProtKB:A0A075B6P5,20-120
UniProtKB:Q9H2W6,?-279
UniProtKB:Q9H2X6,1-1198,XXX-null,MOD:00696
UniProtKB:Q9H2X6,1-1198
UniProtKB:Q9H2X9,1-1139
UniProtKB:Q9H300,53-379
UniProtKB:Q9H310,1-441
UniProtKB:Q9H313-3,1-460
UniProtKB:Q9H324,234-1103
UniProtKB:Q9H324,234-1103,XXX-null,MOD:00812
UniProtKB:Q9H334-8,1-693
UniProtKB:Q9H339,1-312
UniProtKB:Q9H340,1-312
UniProtKB:Q9H341,1-315
UniProtKB:Q9H342,1-316
UniProtKB:Q9H343,1-314
UniProtKB:Q9H344,1-312
UniProtKB:Q9H346,1-318
UniProtKB:Q9H3D4,1-680
UniProtKB:Q9H3H1,48-467
UniProtKB:Q9H3H5,1-408
UniProtKB:Q9H3K6,1-86
UniProtKB:Q9H3L0,39-296
UniProtKB:Q9H3M0,1-494
UniProtKB:Q9H3M7,1-391
UniProtKB:Q9H3M9,1-355
UniProtKB:Q9H3N8,1-390
UniProtKB:Q9H3P2,1-528
UniProtKB:Q9H3P7,2-528
UniProtKB:Q9H3R0,1-1056
UniProtKB:Q9H3R1,1-872
UniProtKB:Q9H3R2,19-511,XXX-null,MOD:00163
UniProtKB:Q9H3R2,19-511
UniProtKB:Q9H3R5,1-247
UniProtKB:Q9H3S1,33-761
UniProtKB:Q9H3S4,1-243
UniProtKB:Q9H3S5,1-423
UniProtKB:Q9H3Y6,1-488
UniProtKB:Q9H3Z4,1-198
UniProtKB:Q9H410,1-356
UniProtKB:Q9H427,1-330
UniProtKB:Q9H444,2-224
UniProtKB:Q9H461,28-694
UniProtKB:Q9H461,28-694,Lys-null,MOD:01148
UniProtKB:Q9H469,1-300
UniProtKB:Q9H477,1-322
UniProtKB:Q9H479,1-309
UniProtKB:Q9H488,27-388
UniProtKB:Q9H490,2-435
UniProtKB:Q9H492,1-120
UniProtKB:Q9H492,1-121
UniProtKB:Q9H4A3,1-2382
UniProtKB:Q9H4A9,33-463
UniProtKB:Q9H4B4,1-646
UniProtKB:Q9H4B6,1-383
UniProtKB:Q9H4B6,1-383,XXX-null,MOD:00696
UniProtKB:Q9H4B7,1-451
UniProtKB:Q9H4B7,1-451,XXX-null,MOD:00206
UniProtKB:Q9H4B7,1-451,XXX-null,MOD:00207
UniProtKB:Q9H4B8,36-463
UniProtKB:Q9H4E5,1-211
UniProtKB:Q9H4F1,1-302
UniProtKB:Q9H4G0,1-881
UniProtKB:Q9H4I9,1-52
UniProtKB:Q9H4I9,1-107
UniProtKB:Q9H4I9,53-107
UniProtKB:Q9H4L4,1-574
UniProtKB:Q9H4L5,1-887
UniProtKB:Q9H4M3,1-255
UniProtKB:Q9H4M7,1-779
UniProtKB:Q9H4M9,1-534
UniProtKB:Q9H4P4,1-317
UniProtKB:Q9H4X1,1-137
UniProtKB:Q9H4Y5,1-243
UniProtKB:Q9H4Z2,1-1342
UniProtKB:Q9H553,1-372
UniProtKB:Q9H553,1-416
UniProtKB:Q9H583,1-2144
UniProtKB:Q9H598,1-525
UniProtKB:Q9H5I1,1-410
UniProtKB:Q9H5J4,1-265
UniProtKB:Q9H5J8,1-278
UniProtKB:Q9H5K3,1-350
UniProtKB:Q9H5Q4,20-396
UniProtKB:Q9H5Y7,27-841
UniProtKB:Q9H633,2-154
UniProtKB:Q9H672,1-318
UniProtKB:Q9H6A0,1-471
UniProtKB:Q9H6D7,1-363
UniProtKB:Q9H6H4,1-257
UniProtKB:Q9H6I2,1-414
UniProtKB:Q9H6Q4,2-476
UniProtKB:Q9H6R3,30-686
UniProtKB:Q9H6R4,1-1146
UniProtKB:Q9H6T0,1-727
UniProtKB:Q9H6U8,1-611
UniProtKB:Q9H6X2-1,33-564
UniProtKB:Q9H6X2-2,33-368
UniProtKB:Q9H6Z9,1-239
UniProtKB:Q9H707,1-407
UniProtKB:Q9H765,1-288
UniProtKB:Q9H772,22-168
UniProtKB:Q9H773,2-170
UniProtKB:Q9H7B4,1-428
UniProtKB:Q9H7D0,1-1870
UniProtKB:Q9H7L9,2-328
UniProtKB:Q9H7L9,2-328,Lys-null,MOD:01148
UniProtKB:Q9H7P6,1-319
UniProtKB:Q9H7P9,1-1386
UniProtKB:Q9H7R0,1-627
UniProtKB:Q9H7R5,1-613
UniProtKB:Q9H7S9,1-590
UniProtKB:Q9H7T0,1-1116
UniProtKB:Q9H7X3,1-374
UniProtKB:Q9H7X7,1-185
UniProtKB:Q9H7Z6,1-458
UniProtKB:Q9H7Z7,1-377
UniProtKB:Q9H7Z7,88-377
UniProtKB:Q9H814,2-394
UniProtKB:Q9H816,1-532
UniProtKB:Q9H832,1-354,XXX-188,MOD:00211
UniProtKB:Q9H832,1-354
UniProtKB:Q9H840,1-131
UniProtKB:Q9H841,1-368
UniProtKB:Q9H845,?-621
UniProtKB:Q9H853,1-241,XXX-null,MOD:00207
UniProtKB:Q9H853,1-241,Lys-40,MOD:00064
UniProtKB:Q9H853,1-241
UniProtKB:Q9H853,1-241,XXX-null,MOD:00206
UniProtKB:Q9H867,2-229
UniProtKB:Q9H8E8,1-782
UniProtKB:Q9H8G1,1-570
UniProtKB:Q9H8H0,1-719
UniProtKB:Q9H8H3,30-244
UniProtKB:Q9H8M1,38-238
UniProtKB:Q9H8M9,1-152
UniProtKB:Q9H8M9,1-152,XXX-null,MOD:00696
UniProtKB:Q9H8P0,1-69
UniProtKB:Q9H8P0,1-95
UniProtKB:Q9H8P0,1-318
UniProtKB:Q9H8S9,2-216
UniProtKB:Q9H8S9,2-216,Thr-12/Thr-35,MOD:00047
UniProtKB:Q9H8V3,1-914
UniProtKB:Q9H8W5,1-580
UniProtKB:Q9H8X2,1-491
UniProtKB:Q9H8Y8,2-452
UniProtKB:Q9H8Y8,2-452,Thr-222/Thr-225,MOD:00047
UniProtKB:Q9H900,1-591
UniProtKB:Q9H902,1-201
UniProtKB:Q9H903,1-347
UniProtKB:Q9H936,1-323
UniProtKB:Q9H944,1-212
UniProtKB:Q9H963,1-129
UniProtKB:Q9H974,1-415
UniProtKB:Q9H981,1-624
UniProtKB:Q9H999,1-370
UniProtKB:Q9H9A5,1-744
UniProtKB:Q9H9A7,1-625
UniProtKB:Q9H9B1,1-1298
UniProtKB:Q9H9E3,2-785
UniProtKB:Q9H9F9,1-607
UniProtKB:Q9H9G7,1-860
UniProtKB:Q9H9H4,1-285
UniProtKB:Q9H9J2,31-332
UniProtKB:Q9H9J4,1-1324
UniProtKB:Q9H9L3,1-353
UniProtKB:Q9H9L4,1-492
UniProtKB:Q9H9P5,1-680
UniProtKB:Q9H9P8,52-463
UniProtKB:Q9H9Q2,2-264
UniProtKB:Q9H9Q4,1-299
UniProtKB:Q9H9S0,1-305
UniProtKB:Q9H9S3,2-476
UniProtKB:Q9H9S4,1-337
UniProtKB:Q9H9T3,1-547
UniProtKB:Q9H9Y6,1-1135
UniProtKB:Q9H9Z2,2-209
UniProtKB:Q9HA47,1-277
UniProtKB:Q9HA64,1-309
UniProtKB:Q9HA65,1-648
UniProtKB:Q9HA77,1-?
UniProtKB:Q9HA82,1-394
UniProtKB:Q9HAB3,1-445
UniProtKB:Q9HAB8,1-311
UniProtKB:Q9HAF1,1-191
UniProtKB:Q9HAH1,1-456
UniProtKB:Q9HAJ7,1-183
UniProtKB:Q9HAN9,1-279
UniProtKB:Q9HAP6,1-207
UniProtKB:Q9HAQ2,1-790
UniProtKB:Q9HAS3,1-691
UniProtKB:Q9HAT0,1-212
UniProtKB:Q9HAT1,1-526
UniProtKB:Q9HAT8,1-420
UniProtKB:Q9HAT8,1-420,XXX-null,MOD:00696
UniProtKB:Q9HAU0,2-1116
UniProtKB:Q9HAU4,1-748
UniProtKB:Q9HAU5,1-1272
UniProtKB:Q9HAV0,2-340
UniProtKB:Q9HAV4,2-1204
UniProtKB:Q9HAV5,1-297
UniProtKB:Q9HAV7,28-217
UniProtKB:Q9HAW0,1-419
UniProtKB:Q9HAW4,1-1072
UniProtKB:Q9HAW4,1-1339
UniProtKB:Q9HAW4,1-1339,Ser-945,MOD:00046|Thr-916,MOD:00047
UniProtKB:Q9HAW4,1-1339,Lys-null,MOD:01148
UniProtKB:Q9HAW4,1073-1332
UniProtKB:Q9HAW7,26-530
UniProtKB:Q9HAW8,26-530
UniProtKB:Q9HAW9,26-530
UniProtKB:Q9HAY6,1-547
UniProtKB:Q9HAZ2,1-1276
UniProtKB:Q9HB03,1-270
UniProtKB:Q9HB14,1-408
UniProtKB:Q9HB15,1-430
UniProtKB:Q9HB19,1-425
UniProtKB:Q9HB20,1-300
UniProtKB:Q9HB21,1-404
UniProtKB:Q9HB29,20-575
UniProtKB:Q9HB55,1-503
UniProtKB:Q9HB63,19-628
UniProtKB:Q9HB65,1-397
UniProtKB:Q9HB75,2-910,Thr-788,MOD:00047
UniProtKB:Q9HB75,2-910
UniProtKB:Q9HB89,1-426
UniProtKB:Q9HB90,2-399
UniProtKB:Q9HB96,1-536
UniProtKB:Q9HBA0,1-871
UniProtKB:Q9HBA9,1-442
UniProtKB:Q9HBG4,1-840
UniProtKB:Q9HBG6,1-1241
UniProtKB:Q9HBH0,1-208
UniProtKB:Q9HBH5,1-336
UniProtKB:Q9HBI1,1-364
UniProtKB:Q9HBI6,1-524
UniProtKB:Q9HBJ8,15-222
UniProtKB:Q9HBK9,1-375
UniProtKB:Q9HBL8,1-299
UniProtKB:Q9HBM1,1-224
UniProtKB:Q9HBM6,1-?
UniProtKB:Q9HBM6,1-251
UniProtKB:Q9HBT7,1-754
UniProtKB:Q9HBT8,1-521
UniProtKB:Q9HBU6,1-452
UniProtKB:Q9HBW0,1-351
UniProtKB:Q9HBX8,25-967
UniProtKB:Q9HBX9,1-757
UniProtKB:Q9HBY0,1-568
UniProtKB:Q9HBY8,1-427
UniProtKB:Q9HBZ2,1-717
UniProtKB:Q9HC16-1
UniProtKB:Q9HC16-3,1-384
UniProtKB:Q9HC21,1-320
UniProtKB:Q9HC23,28-129
UniProtKB:Q9HC29,1-1040
UniProtKB:Q9HC36,41-420
UniProtKB:Q9HC52,1-389
UniProtKB:Q9HC58,45-644
UniProtKB:Q9HC62,1-589
UniProtKB:Q9HC73,23-371
UniProtKB:Q9HC77,1-1338
UniProtKB:Q9HC77,1-1338,Ser-589/Ser-595,MOD:00046
UniProtKB:Q9HC84,26-5703,XXX-null,MOD:00163
UniProtKB:Q9HC84,26-5703
UniProtKB:Q9HC96,1-672
UniProtKB:Q9HC97,1-309
UniProtKB:Q9HC98,1-313,Ser-206,MOD:00046
UniProtKB:Q9HC98,1-313
UniProtKB:Q9HCB6,29-807,XXX-null,MOD:00812
UniProtKB:Q9HCB6,29-807
UniProtKB:Q9HCC0,23-563
UniProtKB:Q9HCE1,1-1003
UniProtKB:Q9HCE5,1-456
UniProtKB:Q9HCE6,1-1279
UniProtKB:Q9HCE7,1-757
UniProtKB:Q9HCE9,1-1232
UniProtKB:Q9HCE9,2-1232
UniProtKB:Q9HCE9,2-1232,XXX-null,MOD:00696
UniProtKB:Q9HCF6,1-1732
UniProtKB:Q9HCG1,1-818
UniProtKB:Q9HCG7,1-927
UniProtKB:Q9HCG8,1-908
UniProtKB:Q9HCI7,1-577
UniProtKB:Q9HCJ0,1-1690
UniProtKB:Q9HCJ1,1-492
UniProtKB:Q9HCK4,22-1378
UniProtKB:Q9HCK5,1-861
UniProtKB:Q9HCK8,1-2581
UniProtKB:Q9HCL2,1-828
UniProtKB:Q9HCL3,1-533
UniProtKB:Q9HCM2,24-1894,Tyr-null,MOD:00048
UniProtKB:Q9HCM2,24-1894
UniProtKB:Q9HCM3,1-1749,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:Q9HCM3,1-1749,Ser-445/Ser-729,MOD:00046
UniProtKB:Q9HCM4,1-733
UniProtKB:Q9HCM9,1-518
UniProtKB:Q9HCN2,1-124
UniProtKB:Q9HCN6,21-339
UniProtKB:Q9HCQ5,1-603
UniProtKB:Q9HCR9,1-933
UniProtKB:Q9HCS2,1-524
UniProtKB:Q9HCS4,1-598
UniProtKB:Q9HCS7,1-855
UniProtKB:Q9HCT0,23-170
UniProtKB:Q9HCU5,1-417
UniProtKB:Q9HCU8,1-107
UniProtKB:Q9HCU9,1-246
UniProtKB:Q9HCX3,1-659
UniProtKB:Q9HCX4,1-862
UniProtKB:Q9HCZ1,1-680
UniProtKB:Q9HD20,1-1204
UniProtKB:Q9HD23,50-443
UniProtKB:Q9HD26,2-462
UniProtKB:Q9HD33,?-250
UniProtKB:Q9HD34,1-91
UniProtKB:Q9HD40,1-501
UniProtKB:Q9HD47,1-186
UniProtKB:Q9HD67,1-2058
UniProtKB:Q9HD89,19-108
UniProtKB:Q9HDB5,36-637
UniProtKB:Q9HDD0,1-168
UniProtKB:Q9MY60,1-181
UniProtKB:Q9MY60,1-181,Lys-null,MOD:01148
UniProtKB:Q9NNW7,37-524
UniProtKB:Q9NNX6,1-404
UniProtKB:Q9NP31,1-389
UniProtKB:Q9NP55,20-256
UniProtKB:Q9NP56,1-450
UniProtKB:Q9NP58,1-842
UniProtKB:Q9NP59,1-571
UniProtKB:Q9NP60,17-686
UniProtKB:Q9NP61,1-516
UniProtKB:Q9NP70,27-447,XXX-null,MOD:00696
UniProtKB:Q9NP70,27-447
UniProtKB:Q9NP71,1-852,Ser-568,MOD:00046
UniProtKB:Q9NP71,1-852,Ser-196,MOD:00046|Thr-666,MOD:00047
UniProtKB:Q9NP71,1-852
UniProtKB:Q9NP71,1-852,Thr-666,MOD:00047
UniProtKB:Q9NP72,1-203
UniProtKB:Q9NP72,1-203,Cys-203,MOD:00113
UniProtKB:Q9NP73,1-165
UniProtKB:Q9NP77,1-194
UniProtKB:Q9NP78,1-766
UniProtKB:Q9NP79,2-307
UniProtKB:Q9NP80,1-782
UniProtKB:Q9NP81,35-518
UniProtKB:Q9NP84,28-129
UniProtKB:Q9NP85,1-383
UniProtKB:Q9NP87,1-494
UniProtKB:Q9NP90,1-201,Cys-200/Cys-201,MOD:00113
UniProtKB:Q9NP90,1-201
UniProtKB:Q9NP91,1-592
UniProtKB:Q9NP92,1-439
UniProtKB:Q9NP94,1-309
UniProtKB:Q9NP95,1-211
UniProtKB:Q9NP97,2-96
UniProtKB:Q9NP99,21-234
UniProtKB:Q9NPA1,1-279
UniProtKB:Q9NPA2,22-?
UniProtKB:Q9NPA2,108-539
UniProtKB:Q9NPA3,1-183
UniProtKB:Q9NPA8,1-101
UniProtKB:Q9NPB1,32-228
UniProtKB:Q9NPB6,1-346
UniProtKB:Q9NPB6,1-346,Ser-345,MOD:00046
UniProtKB:Q9NPB8,1-672
UniProtKB:Q9NPB9,1-350
UniProtKB:Q9NPC1,1-389
UniProtKB:Q9NPC2,1-374
UniProtKB:Q9NPD3,2-245
UniProtKB:Q9NPD5,1-702
UniProtKB:Q9NPD7,28-116,XXX-116,MOD:00097
UniProtKB:Q9NPD8,1-197,Lys-91/Lys-182,MOD:01148
UniProtKB:Q9NPD8,1-197,XXX-86,MOD:00211
UniProtKB:Q9NPD8,1-197
UniProtKB:Q9NPE3,1-64
UniProtKB:Q9NPF0,36-282
UniProtKB:Q9NPF2,1-352
UniProtKB:Q9NPF4,1-335
UniProtKB:Q9NPF5,1-467
UniProtKB:Q9NPF7,20-189
UniProtKB:Q9NPG1,23-666
UniProtKB:Q9NPG2,1-151
UniProtKB:Q9NPG3,1-1134
UniProtKB:Q9NPH0,33-428
UniProtKB:Q9NPH2,1-558
UniProtKB:Q9NPH3-1,21-570
UniProtKB:Q9NPH5,1-578
UniProtKB:Q9NPI1,1-651
UniProtKB:Q9NPI5,1-230
UniProtKB:Q9NPI6,1-582
UniProtKB:Q9NPI8,1-374
UniProtKB:Q9NPI9,1-418
UniProtKB:Q9NPJ1,1-570
UniProtKB:Q9NPJ3,1-140
UniProtKB:Q9NPJ4,1-139
UniProtKB:Q9NPJ6,1-270
UniProtKB:Q9NPL8,1-285
UniProtKB:Q9NPP4,1-1024
UniProtKB:Q9NPY3,22-652
UniProtKB:Q9NPZ5,1-323
UniProtKB:Q9NQ11,1-1180
UniProtKB:Q9NQ25,23-335
UniProtKB:Q9NQ36,29-999
UniProtKB:Q9NQ38,490-624
UniProtKB:Q9NQ40,1-469
UniProtKB:Q9NQ48,1-299
UniProtKB:Q9NQ50,47-206
UniProtKB:Q9NQ66,1-1216
UniProtKB:Q9NQ69,1-397
UniProtKB:Q9NQ76,18-525
UniProtKB:Q9NQ76,18-525,XXX-null,MOD:00696
UniProtKB:Q9NQ86,1-728
UniProtKB:Q9NQ87,1-328
UniProtKB:Q9NQ88,1-270
UniProtKB:Q9NQ90,1-1003
UniProtKB:Q9NQ92,1-184
UniProtKB:Q9NQ94,1-594
UniProtKB:Q9NQA5,1-729
UniProtKB:Q9NQB0,1-506
UniProtKB:Q9NQB0,1-619,Thr-201/Thr-212,MOD:00047
UniProtKB:Q9NQB0,1-619
UniProtKB:Q9NQC1,1-790
UniProtKB:Q9NQC3,1-1192
UniProtKB:Q9NQC7,1-956,Ser-418,MOD:00046
UniProtKB:Q9NQC7,1-956
UniProtKB:Q9NQC8,1-304
UniProtKB:Q9NQG5,2-326
UniProtKB:Q9NQG7,1-708
UniProtKB:Q9NQI0,1-724
UniProtKB:Q9NQL2,1-400
UniProtKB:Q9NQN1,1-319
UniProtKB:Q9NQP4,1-134
UniProtKB:Q9NQR1,1-393
UniProtKB:Q9NQR4,1-276
UniProtKB:Q9NQR9,1-355
UniProtKB:Q9NQS3,58-549
UniProtKB:Q9NQS5,1-396
UniProtKB:Q9NQS7,1-918
UniProtKB:Q9NQT4,1-235
UniProtKB:Q9NQT5,2-275
UniProtKB:Q9NQT8,1-1826
UniProtKB:Q9NQU5,1-681
UniProtKB:Q9NQV7,1-894
UniProtKB:Q9NQW5,1-492
UniProtKB:Q9NQX3,1-736
UniProtKB:Q9NQX5,35-325
UniProtKB:Q9NQX6,1-463
UniProtKB:Q9NQZ2,1-479
UniProtKB:Q9NQZ5,59-370
UniProtKB:Q9NQZ7,1-604
UniProtKB:Q9NQZ8,1-489
UniProtKB:Q9NR11,1-478
UniProtKB:Q9NR12,1-457
UniProtKB:Q9NR19,1-701
UniProtKB:Q9NR19,1-701,Lys-418,MOD:00064
UniProtKB:Q9NR28,56-239
UniProtKB:Q9NR30,1-783
UniProtKB:Q9NR33,2-117
UniProtKB:Q9NR34,1-630
UniProtKB:Q9NR45,2-359
UniProtKB:Q9NR48,1-2969
UniProtKB:Q9NR50,1-452
UniProtKB:Q9NR61,27-685
UniProtKB:Q9NR63,1-512
UniProtKB:Q9NR71,1-780
UniProtKB:Q9NR77,2-195
UniProtKB:Q9NR80,1-690
UniProtKB:Q9NR81,1-526
UniProtKB:Q9NR82,1-932
UniProtKB:Q9NR96,?-1032
UniProtKB:Q9NR96,1-?
UniProtKB:Q9NR96,26-1032
UniProtKB:Q9NR97,27-1041
UniProtKB:Q9NRA0,1-654
UniProtKB:Q9NRA1-1,1-345
UniProtKB:Q9NRA1-1,23-345
UniProtKB:Q9NRA1-1,24-234
UniProtKB:Q9NRA1-1,235-345
UniProtKB:Q9NRA2,1-210
UniProtKB:Q9NRA2,1-397
UniProtKB:Q9NRA2,1-495
UniProtKB:Q9NRB3,1-414
UniProtKB:Q9NRC6,1-3674
UniProtKB:Q9NRD1,1-293
UniProtKB:Q9NRD5,1-415
UniProtKB:Q9NRD8,26-1548
UniProtKB:Q9NRD9,22-1551
UniProtKB:Q9NRF2,1-756
UniProtKB:Q9NRF2-2,1-671
UniProtKB:Q9NRF8,1-586
UniProtKB:Q9NRF9,2-147
UniProtKB:Q9NRG4,1-433
UniProtKB:Q9NRG9,1-546
UniProtKB:Q9NRH3,1-451
UniProtKB:Q9NRJ3,20-127
UniProtKB:Q9NRJ4,1-1543
UniProtKB:Q9NRK6,106-738
UniProtKB:Q9NRM0,1-540
UniProtKB:Q9NRM1,40-1142,XXX-null,MOD:00696
UniProtKB:Q9NRM1,40-1142
UniProtKB:Q9NRM6,18-502
UniProtKB:Q9NRM7,1-1088,Ser-871,MOD:00046|Thr-1041,MOD:00047
UniProtKB:Q9NRM7,1-1088
UniProtKB:Q9NRN7,1-309
UniProtKB:Q9NRP2,1-79
UniProtKB:Q9NRP2,1-79,Cys-14/Cys-24,MOD:00798
UniProtKB:Q9NRR4,1-1374
UniProtKB:Q9NRR6,1-644
UniProtKB:Q9NRV9,1-21
UniProtKB:Q9NRW1,1-208,Cys-206/Cys-208,MOD:00113
UniProtKB:Q9NRW1,1-208
UniProtKB:Q9NRW3,1-190
UniProtKB:Q9NRW7,1-570
UniProtKB:Q9NRX1,1-252
UniProtKB:Q9NRX2,9-175
UniProtKB:Q9NRX5,2-453
UniProtKB:Q9NRY4,1-1499
UniProtKB:Q9NRY4,1-1499,Tyr-1105,MOD:00048
UniProtKB:Q9NRY5,1-327,Ser-445/Ser-729,MOD:00046
UniProtKB:Q9NRY5,1-327,Ser-445/Ser-602/Ser-729,MOD:00046|Thr-599,MOD:00047
UniProtKB:Q9NRZ5,1-378
UniProtKB:Q9NRZ7,1-376
UniProtKB:Q9NS00,2-363
UniProtKB:Q9NS15,44-1303
UniProtKB:Q9NS28,1-235
UniProtKB:Q9NS40,1-1196
UniProtKB:Q9NS61,1-270
UniProtKB:Q9NS62,25-852
UniProtKB:Q9NS62,25-852,XXX-null,MOD:00812
UniProtKB:Q9NS67,1-375
UniProtKB:Q9NS69,2-142
UniProtKB:Q9NS73,1-344
UniProtKB:Q9NS75,1-346
UniProtKB:Q9NS82,1-523
UniProtKB:Q9NS84,1-486
UniProtKB:Q9NS87,1-1388
UniProtKB:Q9NS91,1-495
UniProtKB:Q9NSA0,1-550
UniProtKB:Q9NSA1,29-209
UniProtKB:Q9NSA2,1-647
UniProtKB:Q9NSA3,1-81
UniProtKB:Q9NSB2,1-600
UniProtKB:Q9NSB4,1-513
UniProtKB:Q9NSB8,1-354
UniProtKB:Q9NSC2,1-1324
UniProtKB:Q9NSC5,1-361
UniProtKB:Q9NSC7,1-600
UniProtKB:Q9NSD5,1-602
UniProtKB:Q9NSD7,1-469
UniProtKB:Q9NSD9,1-589
UniProtKB:Q9NSE2,1-258
UniProtKB:Q9NSE4,49-1012
UniProtKB:Q9NSI6,1-2320
UniProtKB:Q9NSK0,1-619
UniProtKB:Q9NSP4,1-180
UniProtKB:Q9NST1,1-481
UniProtKB:Q9NSU2,1-369
UniProtKB:Q9NSV4,1-1193
UniProtKB:Q9NSY2,1-213
UniProtKB:Q9NT22,23-766
UniProtKB:Q9NT62,1-314
UniProtKB:Q9NT62,1-314,XXX-263,MOD:01777
UniProtKB:Q9NT99,36-713
UniProtKB:Q9NTG7,?-399
UniProtKB:Q9NTI2,1-1148
UniProtKB:Q9NTI5,1-1447
UniProtKB:Q9NTJ3,1-1288
UniProtKB:Q9NTJ3,1-1288,Ser-null,MOD:00046
UniProtKB:Q9NTJ4,1-1040
UniProtKB:Q9NTJ5,1-587
UniProtKB:Q9NTK5,1-396
UniProtKB:Q9NTM9,1-273
UniProtKB:Q9NTN3,1-50
UniProtKB:Q9NTN3,1-355
UniProtKB:Q9NTQ9,1-266
UniProtKB:Q9NTX7,1-359
UniProtKB:Q9NUB1,38-689
UniProtKB:Q9NUD9,1-493
UniProtKB:Q9NUI1,2-292
UniProtKB:Q9NUJ1,53-306
UniProtKB:Q9NUN5,1-369
UniProtKB:Q9NUN5,1-540
UniProtKB:Q9NUN7,1-267
UniProtKB:Q9NUP1,1-217
UniProtKB:Q9NUP7,2-481
UniProtKB:Q9NUP9,2-197
UniProtKB:Q9NUQ2,1-364
UniProtKB:Q9NUQ9,2-324
UniProtKB:Q9NUT2,56-735
UniProtKB:Q9NUV7,1-552,XXX-371,MOD:00128
UniProtKB:Q9NUW8,1-608
UniProtKB:Q9NUX5,1-634
UniProtKB:Q9NUZ1,1-547
UniProtKB:Q9NV06,1-445
UniProtKB:Q9NV23,1-260
UniProtKB:Q9NV31,1-184
UniProtKB:Q9NV35,1-164
UniProtKB:Q9NV56,1-204
UniProtKB:Q9NV58,1-838
UniProtKB:Q9NV66,1-732
UniProtKB:Q9NV70,2-894
UniProtKB:Q9NV72,1-465
UniProtKB:Q9NV88,1-658
UniProtKB:Q9NV96,2-361
UniProtKB:Q9NVC6,1-651
UniProtKB:Q9NVD7,1-372
UniProtKB:Q9NVE7,1-773
UniProtKB:Q9NVF9,1-386
UniProtKB:Q9NVG8,1-400
UniProtKB:Q9NVH1,2-559
UniProtKB:Q9NVH2,1-962
UniProtKB:Q9NVH6,16-421
UniProtKB:Q9NVI1,1-1328
UniProtKB:Q9NVI1,1-1328,Ser-556/Ser-559/Ser-565/Ser-617,MOD:00046
UniProtKB:Q9NVI1,1-1328,Ser-556/Ser-559/Ser-565/Ser-617,MOD:00046|Lys-523,MOD:01148
UniProtKB:Q9NVK5,1-132,Tyr-null/Tyr-766,MOD:00048
UniProtKB:Q9NVK5,1-132
UniProtKB:Q9NVM4,1-692
UniProtKB:Q9NVM9,1-706
UniProtKB:Q9NVR0,16-708
UniProtKB:Q9NVR2,1-710
UniProtKB:Q9NVS2,35-196
UniProtKB:Q9NVS9,1-261
UniProtKB:Q9NVU0,1-708
UniProtKB:Q9NVW2,1-624
UniProtKB:Q9NVX0,1-235
UniProtKB:Q9NVZ3,1-263
UniProtKB:Q9NW08,1-1133
UniProtKB:Q9NW13,2-759
UniProtKB:Q9NW15,1-660
UniProtKB:Q9NW38,1-375
UniProtKB:Q9NW64,2-420
UniProtKB:Q9NWA0,1-146
UniProtKB:Q9NWB7,1-429
UniProtKB:Q9NWF4,1-448
UniProtKB:Q9NWF9,1-866
UniProtKB:Q9NWM0-3,1-555
UniProtKB:Q9NWM8,20-211
UniProtKB:Q9NWQ8,1-432,Tyr-317,MOD:00048
UniProtKB:Q9NWQ8,1-432
UniProtKB:Q9NWR8,36-336
UniProtKB:Q9NWS9,1-450
UniProtKB:Q9NWT6,2-349
UniProtKB:Q9NWT8,1-199
UniProtKB:Q9NWU5,41-206
UniProtKB:Q9NWV8,1-329
UniProtKB:Q9NWW6,1-199
UniProtKB:Q9NWW9,1-162
UniProtKB:Q9NWX5,1-421
UniProtKB:Q9NWX6,1-298
UniProtKB:Q9NWZ3,1-292
UniProtKB:Q9NWZ3,1-401
UniProtKB:Q9NWZ3,1-460,Ser-346,MOD:00046|Thr-342/Thr-345,MOD:00047
UniProtKB:Q9NWZ3,1-460
UniProtKB:Q9NWZ5,1-548
UniProtKB:Q9NWZ8,1-242
UniProtKB:Q9NX08,1-183
UniProtKB:Q9NX09,1-232
UniProtKB:Q9NX14,30-153
UniProtKB:Q9NX20,37-251
UniProtKB:Q9NX24,1-153
UniProtKB:Q9NX46,28-363
UniProtKB:Q9NX57,1-234,Cys-232/Cys-233,MOD:00113
UniProtKB:Q9NX57,1-234
UniProtKB:Q9NX62,1-359
UniProtKB:Q9NX63,2-227
UniProtKB:Q9NX63,2-227,Cys-183/Cys-193,MOD:00798
UniProtKB:Q9NX65,1-485
UniProtKB:Q9NX70,1-200
UniProtKB:Q9NX74,1-493
UniProtKB:Q9NX76,1-183
UniProtKB:Q9NXA8,37-310
UniProtKB:Q9NXB0,1-559
UniProtKB:Q9NXB9,1-296
UniProtKB:Q9NXD2,1-777
UniProtKB:Q9NXE4,1-827
UniProtKB:Q9NXE8,1-425
UniProtKB:Q9NXF1,1-929
UniProtKB:Q9NXF7,1-216
UniProtKB:Q9NXG2,2-353
UniProtKB:Q9NXH8,1-423
UniProtKB:Q9NXH9,1-659
UniProtKB:Q9NXK8,1-326
UniProtKB:Q9NXL2,1-777
UniProtKB:Q9NXR1,1-346
UniProtKB:Q9NXR7,1-383
